integrator,dt,episodes_to_solve,final_smooth,wall_time_s,nan_events
rk2,1,20,-2.0,2.1,0
rk2,0.5,20,-5.03,2.25,0
rk2,2,20,-8.5,1.3,0
rk2,1.5,20,-9.45,3.79,0
rk4,1,20,-22.55,6.0,0
rk4,0.5,23,-22.27,17.87,0
feuler,0.5,20,-2.67,1.79,0
rk4,1.5,20,-6.38,21.55,0
feuler,1,20,-7.9,3.66,0
feuler,1.5,20,-23.02,2.98,0
feuler,2,20,-21.8,4.11,0
feuler,0.1,20,-7.33,21.63,0
rk2,0.1,20,-12.63,41.83,0
seuler,0.5,20,-11.32,6.21,0
seuler,1,20,-4.5,1.23,0
seuler,1.5,20,-3.23,0.81,0
seuler,2,20,-3.8,0.93,0
rk2,0.05,20,-25.07,94.97,0
rk4,0.1,20,-18.29,113.22,0
seuler,0.1,22,-19.94,88.69,0
feuler,0.05,20,-12.44,110.52,0
ieuler,0.5,,-100.0,99.33,0
ieuler,1,,-100.0,130.72,0
seuler,0.05,23,-37.96,220.27,0
ieuler,1.5,,-99.0,34.41,0
ieuler,2,,-100.0,24.31,0
vverlet,0.1,20,-21.49,77.52,0
vverlet,0.5,20,-12.45,6.86,0
vverlet,1,20,-3.4,1.94,0
vverlet,1.5,20,-8.1,1.79,0
vverlet,2,20,-8.6,1.93,0
feuler,0.01,20,-57.34,365.89,0
rk4,2,20,-13.5,376.01,0
rk4,0.05,20,-31.71,412.16,0
vverlet,0.05,21,-29.03,169.86,0
rk2,0.01,23,-100.0,636.14,0
seuler,0.01,,-100.0,665.61,0
rk4,0.01,25,-100.0,725.19,0
ieuler,0.05,,-100.0,642.16,0
ieuler,0.1,,-100.0,683.03,0
vverlet,0.01,,-97.24,646.35,0
ieuler,0.01,,-100.0,946.33,0
