integrator,dt,episodes_to_solve,final_smooth,wall_time_s,nan_events
rk4,1.0,,1.0,0.01,0
rk4,0.5,,0.5,0.01,0
rk2,0.5,,0.5,0.01,0
rk2,1.0,,1.0,0.01,0
rk2,1.5,,1.5,0.01,0
rk2,0.1,,0.29,0.03,0
rk2,2.0,,2.0,0.01,0
rk4,0.1,,0.28,0.03,0
rk4,2.0,,2.0,0.01,0
feuler,1.0,,2.0,0.02,0
rk2,0.05,,0.39,0.05,0
feuler,0.5,,1.0,0.02,0
rk4,1.5,,1.5,0.01,0
feuler,0.1,,0.39,0.02,0
rk4,0.05,,0.33,0.06,0
feuler,0.05,,0.41,0.04,0
feuler,2.0,,4.0,0.02,0
seuler,0.5,,0.5,0.01,0
feuler,1.5,,3.0,0.03,0
seuler,1.5,,1.5,0.01,0
seuler,0.1,,0.34,0.02,0
seuler,2.0,,2.0,0.01,0
seuler,1.0,,1.0,0.02,0
seuler,0.05,,0.47,0.04,0
ieuler,0.1,,0.25,0.1,0
ieuler,0.5,,0.5,0.13,0
ieuler,1.5,,1.5,0.13,0
vverlet,0.5,,0.5,0.01,0
vverlet,0.05,,0.34,0.05,0
vverlet,0.1,,0.34,0.03,0
vverlet,1.0,,1.0,0.01,0
vverlet,2.0,,2.0,0.01,0
vverlet,1.5,,1.5,0.03,0
ieuler,2.0,,2.0,0.2,0
ieuler,1.0,,1.0,0.21,0
ieuler,0.05,,0.32,0.22,0
seuler,0.01,,0.41,10.77,0
rk2,0.01,,0.43,11.07,0
rk4,0.01,,0.38,11.53,0
vverlet,0.01,,0.51,11.74,0
feuler,0.01,,0.43,11.85,0
ieuler,0.01,,0.4,12.89,0
