integrator,dt,episodes_to_solve,final_smooth,wall_time_s,nan_events
rk2,0.5,20,-5.03,0.81,0
rk2,1.0,20,-2.6,1.43,0
rk2,1.5,20,-9.9,0.65,0
rk2,2.0,20,-12.6,1.54,0
rk4,1.0,239,-28.0,4.22,0
rk4,0.5,297,-32.23,5.97,0
feuler,0.5,20,-2.65,0.88,0
feuler,0.1,20,-6.86,3.2,0
rk2,0.1,40,-13.07,7.49,0
feuler,1.0,20,-33.7,1.28,0
feuler,1.5,20,-29.02,0.96,0
feuler,2.0,20,-43.0,1.2,0
feuler,0.05,20,-10.11,22.21,0
rk4,1.5,20,-11.93,28.5,0
rk4,0.1,253,-27.65,29.83,0
seuler,1.0,20,-4.5,1.55,0
seuler,1.5,20,-3.98,0.6,0
seuler,2.0,20,-3.2,1.53,0
seuler,0.5,130,-15.62,7.76,0
seuler,0.1,373,-42.34,31.69,0
rk4,0.05,201,-21.63,50.59,0
rk2,0.05,261,-24.27,52.47,0
seuler,0.05,259,-18.31,49.01,0
ieuler,1.5,,-99.0,6.39,0
ieuler,1.0,,-100.0,10.29,0
ieuler,0.5,,-100.0,21.84,0
ieuler,2.0,,-100.0,6.24,0
vverlet,0.5,432,-42.7,9.59,0
vverlet,1.0,20,-6.95,0.82,0
vverlet,1.5,20,-8.18,0.84,0
vverlet,2.0,20,-9.5,0.85,0
vverlet,0.1,140,-18.79,16.6,0
vverlet,0.05,225,-23.34,46.12,0
ieuler,0.1,,-100.0,162.8,0
ieuler,0.05,,-100.0,192.0,0
feuler,0.01,113,-73.4,328.63,0
rk2,0.01,487,-81.05,402.79,0
rk4,0.01,102,-100.0,431.96,0
seuler,0.01,,-100.0,426.25,0
rk4,2.0,20,-12.6,437.11,0
vverlet,0.01,,-100.0,395.5,0
ieuler,0.01,,-100.0,644.69,0
