integrator,dt,episodes_to_solve,final_smooth,wall_time_s,nan_events
rk4,2.0,,2.0,0.75,0
rk4,1.0,,1.0,0.76,0
rk4,1.5,,1.5,0.76,0
rk2,0.5,,0.5,0.76,0
rk4,0.5,,0.5,0.77,0
feuler,1.0,,2.0,0.85,0
feuler,0.5,,1.0,0.9,0
rk2,1.5,,1.5,0.94,0
rk2,2.0,,2.0,1.02,0
feuler,2.0,,4.0,1.02,0
rk2,1.0,,1.0,1.11,0
feuler,0.1,,1.96,1.22,0
feuler,1.5,,3.0,1.33,0
rk4,0.1,,1.3,1.45,0
seuler,0.5,,0.5,0.72,0
seuler,1.5,,1.5,0.75,0
seuler,2.0,,2.0,0.76,0
seuler,1.0,,1.0,0.97,0
ieuler,1.0,,1.0,0.96,0
seuler,0.1,,1.78,1.98,0
ieuler,1.5,,1.5,0.96,0
ieuler,0.1,,0.47,1.18,0
ieuler,2.0,,2.0,1.0,0
rk2,0.1,,2.11,2.19,0
vverlet,1.5,,1.5,0.66,0
vverlet,0.5,,0.5,0.76,0
ieuler,0.5,,0.5,1.31,0
vverlet,1.0,,1.0,0.8,0
vverlet,0.1,,1.84,1.06,0
vverlet,2.0,,2.0,0.89,0
rk4,0.05,,4.71,3.15,0
feuler,0.05,,2.98,3.27,0
rk2,0.05,,3.8,3.54,0
vverlet,0.05,,7.63,2.56,0
seuler,0.05,,5.16,3.97,0
ieuler,0.05,,5.31,4.51,0
feuler,0.01,,12.62,7.48,0
vverlet,0.01,,3.9,6.69,0
seuler,0.01,,32.57,15.22,0
rk2,0.01,,29.39,16.41,0
rk4,0.01,469,50.0,25.54,0
ieuler,0.01,452,50.0,51.65,0
