integrator,dt,episodes_to_solve,final_smooth,wall_time_s,nan_events
rk2,2.0,20,-8.2,22.22,0
feuler,2.0,20,-42.4,23.94,0
feuler,1.5,20,-19.27,41.96,0
feuler,1.0,20,-12.5,42.59,0
rk2,1.5,20,-11.1,44.67,0
rk2,1.0,20,-2.0,50.87,0
rk4,1.0,131,-19.8,57.37,0
seuler,2.0,20,-9.6,26.36,0
seuler,1.5,20,-3.23,33.07,0
seuler,1.0,20,-4.25,54.24,0
rk4,0.5,20,-20.93,90.51,0
feuler,0.5,20,-2.5,94.17,0
rk2,0.5,20,-4.5,105.12,0
seuler,0.5,20,-12.53,96.99,0
ieuler,2.0,,-100.0,48.96,0
ieuler,1.5,,-99.0,64.86,0
ieuler,1.0,,-100.0,83.23,0
vverlet,1.0,20,-3.3,49.58,0
vverlet,1.5,20,-5.7,38.81,0
vverlet,2.0,20,-9.4,21.59,0
vverlet,0.5,20,-11.07,96.72,0
ieuler,0.5,,-100.0,201.15,0
rk4,1.5,20,-6.83,304.76,0
feuler,0.1,20,-6.09,351.36,0
rk4,0.1,20,-16.29,362.39,0
seuler,0.1,20,-21.48,371.99,0
rk2,0.1,20,-14.03,393.7,0
vverlet,0.1,20,-18.53,343.05,0
ieuler,0.1,,-100.0,548.76,0
rk4,0.05,20,-21.26,651.41,0
seuler,0.05,20,-19.33,660.24,0
feuler,0.05,20,-9.58,677.6,0
rk2,0.05,20,-15.22,755.04,0
vverlet,0.05,20,-19.03,654.49,0
ieuler,0.05,,-100.0,1018.61,0
rk2,0.01,77,-100.0,2621.72,0
vverlet,0.01,73,-100.0,2636.92,0
feuler,0.01,20,-92.5,2852.54,0
rk4,0.01,26,-100.0,2885.64,0
seuler,0.01,,-100.0,2925.16,0
rk4,2.0,20,-12.3,3553.43,0
ieuler,0.01,47,-100.0,3525.23,0
