integrator,dt,episodes_to_solve,final_smooth,wall_time_s,nan_events
rk2,1,20,-2.55,1.06,0
rk2,1.5,20,-8.93,1.47,0
rk2,2,20,-9.2,1.69,0
feuler,0.5,20,-4.72,1.75,0
rk2,0.5,20,-5.05,1.99,0
seuler,1,20,-3.1,0.96,0
seuler,1.5,20,-2.17,0.76,0
feuler,1.5,20,-17.93,2.53,0
seuler,2,20,-7.2,0.82,0
feuler,2,20,-46.9,5.46,0
rk4,1,20,-18.9,5.5,0
feuler,1,20,-8.5,5.76,0
seuler,0.5,20,-13.15,9.6,0
rk4,0.5,20,-23.27,10.98,0
feuler,0.1,20,-11.92,23.24,0
rk4,1.5,20,-9.38,26.78,0
vverlet,1,20,-4.75,1.27,0
vverlet,1.5,20,-9.6,1.23,0
ieuler,2,,-100.0,23.83,0
vverlet,0.5,20,-15.1,6.33,0
ieuler,1.5,,-99.0,24.35,0
vverlet,2,20,-6.1,1.03,0
rk2,0.1,20,-14.7,36.1,0
ieuler,1,,-100.0,39.7,0
ieuler,0.5,,-100.0,54.75,0
feuler,0.05,20,-12.86,61.03,0
vverlet,0.1,75,-30.63,87.74,0
seuler,0.1,145,-35.89,108.09,0
rk4,0.1,176,-31.22,166.73,0
rk2,0.05,20,-20.19,169.71,0
ieuler,0.1,,-100.0,243.26,0
rk4,0.05,243,-44.74,309.35,0
vverlet,0.05,,-100.0,312.89,0
seuler,0.05,,-100.0,401.11,0
ieuler,0.05,,-100.0,408.85,0
rk4,2,20,-11.4,462.21,0
feuler,0.01,20,-93.53,1098.27,0
rk2,0.01,24,-97.4,1247.32,0
vverlet,0.01,,-100.0,1339.16,0
rk4,0.01,,-100.0,1420.46,0
seuler,0.01,,-100.0,1422.63,0
ieuler,0.01,,-100.0,1568.51,0
