integrator,dt,episodes_to_solve,final_smooth,wall_time_s,nan_events
rk2,2.0,,-18.0,0.02,0
rk4,2.0,,-18.0,0.02,0
rk4,1.0,,-9.0,0.03,0
rk2,0.5,,-4.5,0.02,0
rk4,1.5,,-13.5,0.03,0
seuler,0.5,,-4.5,0.02,0
seuler,1.0,,-9.0,0.02,0
feuler,0.5,,-4.0,0.04,0
rk4,0.5,,-4.5,0.04,0
rk2,0.1,,-0.6,0.05,0
rk2,1.5,,-13.5,0.03,0
seuler,1.5,,-13.5,0.02,0
feuler,1.5,,-12.0,0.04,0
seuler,2.0,,-18.0,0.02,0
feuler,0.1,,-0.53,0.05,0
feuler,1.0,,-8.0,0.05,0
feuler,2.0,,-16.0,0.04,0
seuler,0.1,,-0.73,0.06,0
rk4,0.1,,-0.65,0.09,0
vverlet,1.5,,-13.5,0.03,0
vverlet,1.0,,-9.0,0.04,0
vverlet,0.5,,-4.5,0.05,0
rk2,1.0,,-9.0,0.03,0
vverlet,0.1,,-0.65,0.07,0
feuler,0.05,,-0.09,0.1,0
vverlet,2.0,,-18.0,0.05,0
rk4,0.05,,-0.08,0.15,0
vverlet,0.05,,-0.03,0.11,0
rk2,0.05,,-0.06,0.17,0
ieuler,0.1,,-0.8,0.17,0
ieuler,2.0,,-18.0,0.15,0
seuler,0.05,,-0.18,0.12,0
ieuler,0.5,,-4.5,0.19,0
ieuler,1.5,,-13.5,0.22,0
ieuler,1.0,,-9.0,0.25,0
ieuler,0.05,,-0.15,0.35,0
ieuler,0.01,,2.44,8.45,0
rk2,0.01,,5.19,9.92,0
rk4,0.01,,5.45,17.49,0
feuler,0.01,,5.52,19.85,0
vverlet,0.01,,5.68,20.51,0
seuler,0.01,,5.74,21.32,0
