integrator,dt,episodes_to_solve,final_smooth,wall_time_s,nan_events
rk2,1,20,-2.55,0.69,0
rk2,1.5,20,-8.93,1.31,0
rk2,2,20,-9.2,1.69,0
feuler,0.5,20,-4.72,1.94,0
rk2,0.5,20,-5.05,2.11,0
feuler,1.5,20,-17.93,2.21,0
seuler,1,20,-3.1,0.93,0
seuler,1.5,20,-2.17,0.84,0
seuler,2,20,-7.2,1.2,0
feuler,1,20,-8.5,3.42,0
rk4,1,20,-18.9,5.16,0
feuler,2,20,-46.9,5.4,0
seuler,0.5,20,-13.15,8.5,0
rk4,0.5,20,-23.27,12.41,0
ieuler,2,20,-100.0,12.35,0
feuler,0.1,20,-11.92,19.26,0
ieuler,1.5,20,-99.0,20.57,0
rk4,1.5,20,-9.38,26.35,0
rk2,0.1,20,-14.7,38.65,0
ieuler,0.5,20,-100.0,48.01,0
ieuler,1,20,-100.0,48.15,0
feuler,0.05,20,-12.86,91.32,0
rk4,0.1,20,-31.22,102.93,0
seuler,0.1,20,-35.89,109.39,0
rk2,0.05,20,-20.19,116.83,0
ieuler,0.1,20,-100.0,203.94,0
rk4,0.05,20,-44.74,254.14,0
seuler,0.05,20,-100.0,322.73,0
ieuler,0.05,20,-100.0,383.52,0
rk4,2,20,-11.4,404.1,0
feuler,0.01,20,-93.53,1028.24,0
rk2,0.01,20,-97.4,1225.08,0
seuler,0.01,122,-100.0,1280.53,0
rk4,0.01,20,-100.0,1373.36,0
ieuler,0.01,90,-100.0,1514.12,0
