integrator,dt,episodes_to_solve,final_smooth,wall_time_s,nan_events
rk2,1,20,-2.9,0.69,0
rk2,1.5,20,-6.25,1.26,0
feuler,0.5,20,-8.6,1.37,0
rk2,2,20,-3.4,1.45,0
rk2,0.5,20,-9.65,3.02,0
rk4,1,20,-24.15,7.21,0
seuler,1,20,-2.85,1.31,0
seuler,1.5,20,-2.6,1.2,0
rk4,0.5,20,-47.05,10.44,0
seuler,2,20,-5.85,0.73,0
seuler,0.5,20,-27.2,8.07,0
feuler,1,20,-78.1,17.11,0
rk4,1.5,20,-5.6,17.97,0
feuler,0.1,23,-79.55,19.79,0
feuler,1.5,32,-226.3,29.95,0
rk2,0.1,,-161.55,38.31,0
feuler,2,,-200.8,48.61,0
feuler,0.05,,-227.6,50.09,0
seuler,0.1,,-196.8,57.12,0
rk4,0.1,,-208.25,66.66,0
rk2,0.05,,-362.2,80.7,0
rk2,0.001,,-500.0,87.37,0
seuler,0.001,,-500.0,92.26,0
seuler,0.01,,-500.0,93.69,0
rk4,0.001,,-500.0,96.88,0
seuler,0.05,,-470.7,97.3,0
rk4,0.01,,-500.0,100.84,0
feuler,0.001,,-500.0,114.62,0
ieuler,0.01,,-500.0,105.85,0
rk2,0.01,,-500.0,120.63,0
ieuler,0.05,,-500.0,114.02,0
feuler,0.01,,-500.0,130.02,0
rk4,0.05,,-429.9,131.95,0
ieuler,0.001,,-500.0,124.24,0
ieuler,1,,-500.0,119.42,0
ieuler,0.1,,-500.0,130.94,0
ieuler,1.5,,-500.0,119.15,0
ieuler,0.5,,-500.0,132.43,0
ieuler,2,,-500.0,123.66,0
rk4,2,20,-5.35,506.76,0
